P8_ID;P8_MBA_A_Haushalt;P8_B4P_P_STUDENTEN
01561240;95;1.52
01561245;19;1.7
01561250;26;2.25
01561255;88;3.52
01561260;301;2.52
01561265;43;1.09
01561270;59;0.53
01587005;587;4.58
01587010;273;4.82
01587015;887;3.9
01587020;475;3.9
01587025;657;5.32
01587030;339;2.95
01587035;1109;2.42
01587040;610;4.56
01587045;612;3.61
01587050;231;2.61
01587055;645;3.22
01587060;1028;4.58
01589005;186;1.35
01589010;350;1.53
01589015;576;2.77
01589020;584;3.09
01589025;639;2.77
01589030;1467;3.15
01589035;472;5.59
01589040;354;5.44
01589045;234;4.57
01589050;390;2.48
01589055;557;4.22
01591005;249;1.09
01591010;158;1.13
01591015;210;1.99
01591020;471;3.92
01591025;391;2.69
01591030;367;3
01591035;574;3.92
01591040;1024;1.4
01591045;474;0.63
01591050;531;0.5
01591055;287;0.73
01591060;321;5.18
01594005;131;1.09
01594010;178;1.09
01594015;192;2.88
01594020;130;1.84
01594025;285;2.33
01594030;230;2.07
01594035;181;1.03
01594045;465;1.99
01594050;184;0.95
01594055;160;1.03
01594060;205;0.96
01594065;109;1.05
01594070;126;1.57
01594080;216;1.73
01594085;110;1.24
01594090;31;0.77
01594095;100;1.19
01594100;92;2.43
01609005;233;0.4
01609010;318;6.67
01609015;389;0.8
01609020;252;0.73
01609025;481;5.63
01609030;602;3.14
01609035;501;5.04
01609040;475;4.31
01609045;623;5.55
01609050;206;0.62
01609060;143;1.16
01609065;518;1.06
01609070;192;0.89
01609075;584;3.39
01609080;187;1.63
01609085;169;1.57
01609090;369;2.1
01609095;234;0.56
01609100;110;1.69
01612005;815;1.31
01612010;153;1.35
01612015;463;1.8
01612020;598;1.62
01612025;523;2.52
01612030;176;1.92
01612035;129;0.98
01612040;192;2.71
01612045;274;2.8
01612050;167;4.08
01612055;299;3.14
01612065;49;1.45
01616005;631;1.5
01616010;265;1.13
01616015;756;1.88
01616020;163;1.55
01619005;229;1.64
01619010;193;1.32
01619015;217;0.99
01619020;936;3.18
01619025;56;2.09
01619030;183;2.19
01619035;163;0.5
01619040;285;1.51
01619045;133;1.03
01619050;673;1.64
01623040;179;2.14
01623045;826;1.1
01623050;255;1.62
01623055;388;1.07
01623060;243;2.03
01623070;125;2.38
01623075;278;2.17
01623080;131;2.08
01623085;203;3.03
01623095;77;3.1
01640005;902;2.96
01640010;544;2.91
01640015;609;4.18
01640020;396;2.55
01640025;792;1.17
01640030;533;4.54
01640035;306;1.6
01640040;918;4.47
01640045;119;2.77
01640050;409;2.21
01640055;287;3.07
01640060;884;2.56
01640065;452;1.1
01640070;1063;1.6
01640075;421;1.24
01640080;665;4.49
01640085;575;2.17
01640090;456;1.01
01640095;1172;2.46
01662005;315;3.74
01662010;806;4.19
01662015;588;7.09
01662020;292;7.2
01662025;192;3.96
01662030;445;4.63
01662035;209;1.16
01662040;658;1.29
01662045;494;2.36
01662050;356;2.9
01662055;930;6.35
01662060;750;4.78
01662065;387;5.63
01662070;675;3.07
01662075;861;2.82
01662080;182;3.69
01662085;407;1.43
01662090;302;3.82
01662095;682;2.22
01662100;272;4.33
01662105;595;1.28
01662110;558;3.53
01662115;628;6.15
01662120;282;6.44
01662125;678;2.83
01662130;903;4.23
01662135;608;3.76
01662140;722;1.01
01662145;159;2.59
01665005;283;0.93
01665010;113;3.13
01665015;252;2.22
01665020;228;2.14
01665025;132;2.26
01665030;299;1.94
01665035;152;2.78
01665040;107;2.82
01665045;206;1.02
01665050;180;1.57
01665060;95;1.43
01665065;157;2.41
01665070;229;1.09
01665080;187;1.28
01665085;615;3.53
01665090;119;2.54
01665095;318;1.55
01665100;146;3.95
01665105;233;2.74
01665110;314;2.26
01665115;139;2.91
01665120;133;1.44
01665125;195;3.49
01665130;181;1.33
01665135;220;2.47
01665145;118;1.17
01665150;130;0.65
01665155;136;1.98
01665160;179;1.08
01665165;138;1.02
01665170;214;1.28
01665190;238;0.91
01665195;125;2.96
01665200;112;2.23
01665205;147;1.43
01665210;59;2.57
01665215;169;1.14
01665220;74;4.59
01665225;84;1.55
01665230;172;1.03
01665240;74;1.66
01665245;96;3.44
01665250;286;1.1
01683005;182;2.05
01683010;247;2.87
01683015;251;1.52
01683020;586;3.28
01683025;708;1.77
01683030;58;3.88
01683035;453;2.01
01683040;384;0.92
01683045;214;1.08
01683050;378;1.68
01683055;174;2.58
01683065;155;1.96
01683070;121;0.87
01683080;85;1.5
01683085;109;1.1
01683090;181;0.74
01683095;160;1.63
01683100;152;1.14
01683105;235;0.8
01683110;107;0.78
01683115;95;0.99
01683120;31;1.14
01683125;145;0.69
01683130;75;1.91
01683135;105;0.67
01683140;82;0.92
01689005;230;2.04
01689010;175;0.67
01689015;1071;1.24
01689020;396;1.96
01689025;123;1.64
01689030;522;4.57
01689045;411;2.73
01689050;375;4.5
01689055;896;4.45
01689060;472;4.89
01689065;566;1.64
01689070;488;3.18
01689075;543;2.53
