P8_ID;P8_MBA_A_Haushalt;P8_B4P_P_ALTER_18_29
01904045;316;9.56
01906005;777;11.19
01906010;314;13.64
01906015;135;12.01
01909005;413;11.02
01909010;206;10.19
01909015;626;13.6
01909020;212;13.65
01909025;269;10.75
01917005;868;17.39
01917010;688;16.56
01917015;210;15.98
01917020;579;26.6
01917025;354;29.41
01917030;399;14.54
01917035;505;19.4
01917040;121;5.63
01917045;269;22.6
01917050;456;11.23
01917055;407;11.38
01917060;201;18.35
01917065;209;38.12
01917070;1282;15.77
01917075;392;18.03
01917080;169;11.77
01917085;321;8.54
01917090;232;7.9
01917095;314;8.03
01917100;281;6.88
01917105;239;7.99
01917110;151;10.47
01917115;161;9.72
01920010;608;12.97
01920015;133;13.23
01920020;140;14.76
01920025;148;9.77
01920030;648;11.56
01920035;620;13.09
01920045;152;9.48
01920050;287;7.74
01920055;150;8.43
01920060;172;11.51
01920065;142;7.86
01920070;329;12.4
01920075;169;8.46
01920080;188;14.4
01920085;128;11.84
01920090;137;8.23
01920100;101;7.1
01920105;387;15.3
01920115;179;11.1
01920125;188;9.98
01920140;171;11.09
01920165;319;8.72
01920170;414;12.8
01920175;96;8.82
01920180;56;19.75
01920185;110;14.41
01920190;30;12.11
01920195;81;8.18
01920200;98;14.1
01920205;88;8.96
01920210;58;16.38
01920215;104;11
01920220;136;9.98
01920225;107;15.24
01920230;149;13.5
01920235;83;10.44
01920240;248;11.89
01920245;17;9.1
01920250;52;11.71
01936005;418;11.87
01936010;186;8.58
01936015;317;12.95
01936020;389;13.55
01936025;395;17.8
01936030;826;12.55
01936035;636;12.46
01936040;229;10.85
01936045;192;14.35
01936050;289;9.92
01936055;103;15.14
01936060;114;10.83
01936070;789;13.68
01936075;127;6.82
01936085;179;9.73
01936095;67;15.81
01936100;144;14.09
01945005;284;8.93
01945010;203;10.53
01945015;260;11.3
01945025;473;10.19
01945030;290;9.57
01945035;274;9.6
01945040;306;7.29
01945045;655;13.22
01945050;613;14.43
01945055;214;6.65
01945060;209;11.57
01945070;332;11.99
01945075;96;14.33
01945080;170;5.87
01945085;41;8.3
01945090;358;10.67
01968005;456;10.83
01968010;489;18.3
01968015;365;11.07
01968020;585;14.84
01968025;316;21.03
01968030;358;20.34
01968035;445;13.51
01968040;763;14.62
01968045;452;16.42
01968050;442;10.78
01968055;311;22.5
01968060;725;22.34
01968065;448;18.26
01968070;223;16.04
01968075;100;9.53
01968080;629;19.19
01968085;295;16.36
01968090;564;20
01968095;262;10.2
01968100;268;14.11
01968105;496;18.38
01968110;571;14.03
01968115;178;14.72
01968120;211;13.09
01968125;512;10.96
01968130;428;8.64
01968135;719;15.16
01968140;189;7.82
01968145;416;8.28
01968150;166;8.58
01979005;655;8.04
01979010;428;7.44
01979015;566;7.94
01979020;524;8.38
01979025;424;8.91
01979030;266;6.77
01979035;725;9.86
01979040;635;13.54
01979045;487;7.98
01979050;439;10.5
01979055;221;7.11
01979060;539;10.22
01979065;587;16.45
01979070;564;26.24
01979075;334;21.02
01979080;341;20.19
01979085;714;18.77
01983005;308;15
01983010;109;9.22
01983015;233;6.53
01983020;316;6.78
01983025;401;7.76
01983030;489;18.29
01983035;243;9.16
01983040;105;7.9
01983045;1003;23.92
01983050;924;17.45
01983055;587;7.59
01987005;479;20.5
01987010;206;4.89
01987015;1458;13.55
01987020;497;11.8
01987025;446;13.28
01990005;169;8.76
01990010;284;12.36
01990015;491;16.54
01990020;183;7.37
01990025;349;10.06
01993005;958;19.6
01993010;253;5.75
01993015;206;6.89
01994005;566;14.01
01994010;102;6.86
01994015;400;13.6
01996005;431;7.56
01996010;444;7.87
01998005;601;11.36
02625005;568;21.69
02625010;723;32.44
02625015;756;26.6
